Annotator,Document ID,SentNum,Sentence
1,wsj_0062.mrg,41,"American Telephone & Telegraph 's General Business Systems division , New York , awarded the ad account for its Fax product line to Ogilvy & Mather , New York , a WPP Group agency ."
1,wsj_0062.mrg,44,Enterprise Rent-A-Car Inc. breaks its first national ad campaign this week .
1,wsj_0062.mrg,50,"Ketchum Communications , Pittsburgh , acquired Braun & Co. , a Los Angeles investor-relations and marketing-communications firm ."
1,wsj_0062.mrg,51,Terms were n't disclosed *-1 .
1,wsj_0047.mrg,8,"The department placed a moratorium on the research , * pending a review of scientific , legal and ethical issues ."
1,wsj_0047.mrg,16,But the administration 's handling of the fetal-tissue transplant issue disturbs many scientists .
1,wsj_0047.mrg,19,Yale is one of the few medical institutions conducting privately funded research on fetal-tissue transplants .
1,wsj_0047.mrg,24,The NIH currently spends about $ 8 million *U* *ICH*-2 annually on fetal-tissue research out of a total research budget of $ 8 billion *U* .
1,wsj_0116.mrg,1,Or so the slogan might go .
1,wsj_0116.mrg,5,Neither company would disclose the program 's cost .
1,wsj_0116.mrg,9,"Sales were roughly flat in the 1989 model year compared with a year earlier , though industry sales fell ."
1,wsj_0116.mrg,12,"Traditionally , the card has been used *-66 mainly for travel and entertainment expenses ."
1,wsj_0116.mrg,23,Some 3.8 million of the five million who *T*-55 will get letters were preapproved *-67 for credit with GMAC .
1,wsj_0116.mrg,27,"The vacation packages include hotel accommodations and , in some cases , tours or tickets to local attractions , but not meals ."
1,wsj_0116.mrg,31,Card holders who *T*-59 receive the letter also are eligible for a sweepstakes with Buick cars or a Hawaii vacation as prizes .
1,wsj_0116.mrg,32,"If they test-drive a Buick , they get an American Express calculator ."
1,wsj_0116.mrg,34,"A few years ago , the company offered two round-trip tickets on Trans World Airlines to buyers of its Riviera luxury car ."
1,wsj_0101.mrg,19,"The most recent example was a nearly $ 17.3 billion *U* fiscal 1990 bill funding the State , Justice and Commerce departments ."
1,wsj_0148.mrg,8,"A faster version , the SuperDot , was launched *-1 in 1984 ."
1,wsj_0148.mrg,14,Program trading -- A wide range of computer-assisted portfolio trading strategies involving the simultaneous purchase or sale of 15 or more stocks .
1,wsj_0148.mrg,15,"Quant -- Generally , any Wall Street analyst who *T*-1 employs quantitive research techniques ."
1,wsj_0148.mrg,24,"For stock indexes , the underlying investment may be a stock-index futures contract or the cash value of a stock index ."
1,wsj_0050.mrg,1,Terms were n't disclosed *-1 .
1,wsj_0167.mrg,4,Sales rose to $ 3 million *U* from $ 2.9 million *U* .
1,wsj_0167.mrg,6,Sales rose to $ 9.8 million *U* from $ 8.9 million *U* .
1,wsj_0020.mrg,18,"She did n't elaborate , although earlier U.S. trade reports have complained of videocassette piracy in Malaysia and disregard for U.S. pharmaceutical patents in Turkey ."
1,wsj_0060.mrg,15,"Dick Lobo , the general manager of WTVJ , the NBC-owned station in Miami , for example , says 0 the show has `` been a major disappointment to us . ''"
1,wsj_0060.mrg,16,"`` At the prices 0 we were charged *-78 *T*-1 , there should have been some return for the dollar ."
1,wsj_0103.mrg,5,OSHA said 0 there have been three worker fatalities at the two plants in the past two years and 17 deaths since 1972 .
1,wsj_0103.mrg,19,The company is contesting the fine .
1,wsj_0042.mrg,0,"A seat on the Chicago Board of Trade was sold *-1 for $ 350,000 *U* , down $ 16,000 *U* from the previous sale last Friday ."
1,wsj_0042.mrg,2,"The record price for a full membership on the exchange is $ 550,000 *U* , *-2 set *-1 Aug. 31 , 1987 ."
1,wsj_0114.mrg,2,"The Los Angeles Times , with a circulation of more than 1.1 million , dominates the region ."
1,wsj_0114.mrg,4,Nearby cities such as Pasadena and Long Beach also have large dailies .
1,wsj_0114.mrg,8,The prospective buyers included investor Marvin Davis and the Toronto Sun .
1,wsj_0114.mrg,11,The Herald was left *-61 in limbo .
1,wsj_0114.mrg,17,William Randolph Hearst had kept an apartment in the Spanish Renaissance-style building .
1,wsj_0114.mrg,19,"`` The Herald was a survivor from a bygone age , '' said *T*-1 J. Kendrick Noble , a media analyst with PaineWebber Inc ."
1,wsj_0114.mrg,25,"For example , the Herald consistently beat its much-larger rival on disclosures about Los Angeles Mayor Tom Bradley 's financial dealings ."
1,wsj_0114.mrg,26,The Herald 's sports coverage and arts criticism were also highly regarded .
1,wsj_0114.mrg,30,"Hours after the announcement , representatives of the Orange County Register were in a bar across the street *-1 recruiting ."
1,wsj_0114.mrg,33,"`` So Long , L.A. '' was chosen *-1 as the paper 's final headline ."
1,wsj_0114.mrg,35,"His wife also works for the paper , as did his father ."
1,wsj_0114.mrg,38,`` It does n't make any difference now .
1,wsj_0056.mrg,4,Guaranteed minimum 6 % .
1,wsj_0140.mrg,2,"Named *-2 as defendants were *T*-1 Roland Matthews , president , and Peter Jonas , executive vice president and chief financial officer , as well as a former plant manager ."
1,wsj_0140.mrg,5,Arraignments are scheduled *-1 for Nov. 14 .
1,wsj_0121.mrg,0,"Program trading is `` a racket , '' complains 0 *T*-1 Edward Egnuss , a White Plains , N.Y. , investor and electronics sales executive , `` and it 's not to the benefit of the small investor , that 's for sure . ''"
1,wsj_0121.mrg,6,But he blames program trading for only some of the market 's volatility .
1,wsj_0121.mrg,13,"At the Charles Schwab & Co. office in Atlanta 's Buckhead district , a group of investors voices skepticism that federal officials would curb program trading ."
1,wsj_0121.mrg,26,You ca n't hold back technology . ''
1,wsj_0121.mrg,30,The market is just becoming more efficient . ''
1,wsj_0121.mrg,33,"But `` I 'm a long-term investor , '' he says *T*-1 ."
1,wsj_0121.mrg,38,What else can a small investor do *T*-1 ?
1,wsj_0121.mrg,39,"Scott Taccetta , a Chicago accountant , is going into money-market funds ."
1,wsj_0121.mrg,44,"Lucille Gorman , an 84-year-old Chicago housewife , has become amazingly immune to stock-market jolts ."
1,wsj_0121.mrg,46,"`` My stocks are all blue chips , '' she says *T*-1 ."
1,wsj_0077.mrg,1,Bond prices and the dollar both gained modestly .
1,wsj_0077.mrg,4,Long-term bond prices rose despite prospects of a huge new supply of Treasury debt this month .
1,wsj_0077.mrg,9,Economic news had little effect on financial markets .
1,wsj_0077.mrg,13,Stock prices rose fractionally in moderate trading .
1,wsj_0077.mrg,14,Big Board volume totaled 154.2 million shares .
1,wsj_0077.mrg,16,"The Treasury 's benchmark 30-year bond gained about a quarter of a point , or $ 2.50 *U* for each $ 1,000 *U* of face amount ."
1,wsj_0077.mrg,17,The yield fell to 7.88 % .
1,wsj_0077.mrg,18,The dollar rose .
1,wsj_0135.mrg,3,"In fiscal 1989 , Elco earned $ 7.8 million *U* , or $ 1.65 *U* a share ."
1,wsj_0135.mrg,4,The company 's stock fell $ 1.125 *U* to $ 13.625 *U* in over-the-counter trading yesterday .
1,wsj_0184.mrg,3,"The program , available to Upjohn employees 55 years old or older , could increase an individual 's retirement benefits 10 % to 20 % *U* ."
1,wsj_0184.mrg,4,"In addition , Upjohn is offering a one-time retirement bonus equal to six months of base pay ."
1,wsj_0184.mrg,7,"`` It 's a cosmetic move , '' said *T*-1 Jonathan S. Gelles of Wertheim Schroder & Co ."
1,wsj_0184.mrg,8,"According to Upjohn 's estimates , only 50 % to 60 % *U* of the 1,100 eligible employees will take advantage of the plan ."
1,wsj_0184.mrg,10,"As a result , Upjohn will likely trim only about 275 to 350 of its more than 21,000 jobs world-wide ."
1,wsj_0184.mrg,11,"In composite trading on the New York Stock Exchange yesterday , Upjohn shares rose 87.5 cents to $ 38.875 *U* apiece ."
1,wsj_0179.mrg,0,"Junk-bond markdowns , an ongoing Securities and Exchange Commission investigation , a Drexel Burnham Lambert connection , a fizzled buy-out rumor ."
1,wsj_0179.mrg,2,Bears have targeted Columbia 's stock because of the thrift 's exposure to the shaky junk market .
1,wsj_0179.mrg,9,Columbia has only about 10 million common shares in public hands .
1,wsj_0179.mrg,10,The Spiegel family has 25 % of the common and 75 % of the votes .
1,wsj_0179.mrg,11,"Other big common holders are Carl Lindner 's American Financial , investor Irwin Jacobs and Pacific Financial Research , though the latter cut its stake this summer ."
1,wsj_0179.mrg,14,Columbia wo n't comment on all the speculation .
1,wsj_0179.mrg,20,"Columbia , a longtime Drexel client , wo n't provide current data on its junk ."
1,wsj_0179.mrg,22,"These were Allied Stores , Western Union Telegraph , Gillett Holdings , SCI Television and Texas Air , though many other bonds in Columbia 's portfolio also have lost value ."
1,wsj_0179.mrg,24,It also hopes for ultimate gains of as much as $ 300 million *U* on equity investments in buy-outs and restructurings .
1,wsj_0179.mrg,30,It *EXP*-1 is n't clear how much a restructuring would help Columbia stockholders *T*-2 .
1,wsj_0179.mrg,35,"`` They are n't really a thrift , '' says *T*-1 Jonathan Gray , a Sanford C. Bernstein analyst ."
1,wsj_0179.mrg,38,Pauline Yoshihashi in Los Angeles contributed to this article .
1,wsj_0179.mrg,41,"Year ended Dec. 31 , 1988 : Net income : $ 65 million *U* ; or $ 1.49 *U* a share"
1,wsj_0179.mrg,45,Note : All per-share figures are fully diluted .
1,wsj_0095.mrg,5,"If the assumption is that it *EXP*-1 is surprising that so few blacks find Mr. and Mrs. Bush distasteful , the positive view is even more newsworthy ."
1,wsj_0095.mrg,6,"Such an editorial point of view perpetuates an insidious , stereotyped perspective ."
1,wsj_0095.mrg,7,Why are we blacks continually defined *-1 by our minority and the lowest common denominator .
1,wsj_0108.mrg,3,You can do all this even if you 're not a reporter or a researcher or a scholar or a member of Congress .
1,wsj_0108.mrg,4,And my newspaper can print the text of those broadcasts .
1,wsj_0108.mrg,11,The theory was that the Voice is a propaganda agency and this government should n't propagandize its own people .
1,wsj_0108.mrg,16,"In June 1988 , I wrote in this space about this issue ."
1,wsj_0108.mrg,19,It does a first-rate job .
1,wsj_0108.mrg,20,Its budget $ 184 million *U* -- is paid for *-30 by you .
1,wsj_0108.mrg,21,But a 1948 law barred the `` dissemination '' of that material in the U.S. .
1,wsj_0108.mrg,29,"A couple of weeks ago , I lost the case in federal district court in Des Moines ."
1,wsj_0108.mrg,30,"At least , that 's the way 0 it was reported *-32 *T*-1 ."
1,wsj_0108.mrg,31,"And , indeed , the lawsuit was dismissed *-33 ."
1,wsj_0108.mrg,43,But the court disagreed .
1,wsj_0108.mrg,54,"Section 501 of the United States Information and Educational Exchange Act of 1948 says 0 Voice material shall be available to certain of us -LRB- but now , thanks to the USIA 's new position , all of us -RRB- `` for examination only . ''"
1,wsj_0108.mrg,60,He had no answers then .
1,wsj_0108.mrg,63,I feel pretty good about it .
1,wsj_0165.mrg,3,"In national over-the-counter trading yesterday , POP plunged $ 4 *U* to $ 14.75 *U* ."
1,wsj_0036.mrg,2,Its index inched up to 47.6 % in October from 46 % in September .
1,wsj_0036.mrg,6,"If not for a 59.6 % surge in orders for capital goods by defense contractors , factory orders would have fallen 2.1 % ."
1,wsj_0036.mrg,13,`` I draw a blank . ''
1,wsj_0036.mrg,14,"By most measures , the nation 's industrial sector is now growing very slowly -- if at all ."
1,wsj_0036.mrg,15,Factory payrolls fell in September .
1,wsj_0036.mrg,19,"Inventories are closely watched *-1 for such clues , for instance ."
1,wsj_0036.mrg,23,`` I do n't see any signs that inventories are excessive . ''
1,wsj_0036.mrg,26,Orders for durable goods were up 0.2 % to $ 127.03 billion *U* after *-1 rising 3.9 % the month before .
1,wsj_0036.mrg,29,"Shipments have been relatively level since January , the Commerce Department noted 0 *T*-1 ."
1,wsj_0036.mrg,34,"Spending on private , nonresidential construction was off 2.6 % to an annual rate of $ 99.1 billion *U* with no sector showing strength ."
1,wsj_0036.mrg,35,Government construction spending rose 4.3 % to $ 88 billion *U* .
1,wsj_0036.mrg,37,"For the first nine months of the year , total construction spending ran about 2 % above last year 's level ."
1,wsj_0036.mrg,46,"And 8 % *ICH*-1 said 0 export orders were down last month , compared with 6 % the month before ."
1,wsj_0036.mrg,47,The purhasing managers ' report also added evidence that inflation is under control .
1,wsj_0036.mrg,55,"For the first time , the October survey polled members on imports ."
1,wsj_0036.mrg,62,Pamela Sebastian in New York contributed to this article .
1,wsj_0036.mrg,63,Here are *T*-1 the Commerce Department 's figures for construction spending in billions of dollars at seasonally adjusted annual rates .
1,wsj_0036.mrg,64,"Here are *T*-1 the Commerce Department 's latest figures for manufacturers in billions of dollars , seasonally adjusted ."
1,wsj_0157.mrg,2,"Previously , it offered $ 13.65 *U* a share in cash , or $ 29 million *U* ."
1,wsj_0040.mrg,1,"The discussions are still in preliminary stages , and the specific details have n't been worked *-2 out between the Seattle aerospace company and Kawasaki Heavy Industries Ltd. , Mitsubishi Heavy Industries Ltd. and Fuji Heavy Industries Ltd ."
1,wsj_0079.mrg,1,Terms were n't disclosed *-1 .
1,wsj_0187.mrg,2,`` The situation is that the bankruptcy court will get out of the shipbuilding business .
1,wsj_0169.mrg,1,The other concern was n't identified .
1,wsj_0169.mrg,5,The acquisition of 87-store Weisfield 's raises Ratners 's U.S. presence to 450 stores .
1,wsj_0169.mrg,6,About 30 % of Ratners 's profit already is derived *-1 from the U.S. .
1,wsj_0045.mrg,2,The mathematics section of the widely used California Achievement Test asks fifth graders : `` What is *T*-1 another name for the Roman numeral IX ? ''
1,wsj_0045.mrg,6,"What *T*-102 's more , the test and Learning Materials are both produced *-1 by the same company , Macmillan\/McGraw-Hill , a joint venture of McGraw-Hill Inc. and Macmillan 's parent , Britain 's Maxwell Communication Corp ."
1,wsj_0045.mrg,7,"Close parallels between tests and practice tests are common , some educators and researchers say 0 *T*-1 ."
1,wsj_0045.mrg,8,"Test-preparation booklets , software and worksheets are a booming publishing subindustry ."
1,wsj_0045.mrg,13,Standardized achievement tests are given *-1 about 10 million times a year across the country to students generally from kindergarten through eighth grade .
1,wsj_0045.mrg,16,"In Arizona , California , Florida , Louisiana , Maryland , New Jersey , South Carolina and Texas , educators say 0 they are common classroom tools ."
1,wsj_0045.mrg,18,"About 20,000 sets of Learning Materials teachers ' binders have also been sold *-1 in the past four years ."
1,wsj_0045.mrg,19,The materials in each set reach about 90 students .
1,wsj_0045.mrg,27,But Learning Materials matched on 66.5 of 69 subskills .
1,wsj_0045.mrg,28,Scoring High matched on 64.5 .
1,wsj_0045.mrg,30,Learning Materials for the fifth-grade contains at least a dozen examples of exact matches or close parallels to test items .
1,wsj_0045.mrg,33,"When Scoring High first came out in 1979 *T*-1 , it was a publication of Random House ."
1,wsj_0007.mrg,1,Finmeccanica is an Italian state-owned holding company with interests in the mechanical engineering industry .
1,wsj_0076.mrg,1,Terms were n't disclosed *-1 .
1,wsj_0111.mrg,5,Sometimes you just go with your gut . ''
1,wsj_0111.mrg,14,"As a private company , Random House does n't report its earnings ."
1,wsj_0111.mrg,16,Speculation on his successor centers on a number of division heads at the house .
1,wsj_0111.mrg,17,"Possible candidates include Susan Petersen , president of Ballantine\/Del Rey\/Fawcett , Random House 's huge and successful paperback division ."
1,wsj_0113.mrg,0,"Despite one of the most devastating droughts on record , net cash income in the Farm Belt rose to a new high of $ 59.9 billion *U* last year ."
1,wsj_0113.mrg,3,Most of those states set farm income records .
1,wsj_0113.mrg,4,The worst crop damage occurred in the Midwestern Corn Belt and the northern Great Plains .
1,wsj_0113.mrg,10,Last year 's record net cash income confirms the farm sector 's rebound from the agricultural depression of the early 1980s .
1,wsj_0113.mrg,17,Iowa and Minnesota were among the few major farm states 0 *T*-1 to log a decline in net cash income .
1,wsj_0113.mrg,18,"Despite federal disaster relief , the drought of 1988 was a severe financial setback for an estimated 10,000 to 15,000 farmers , according to the department ."
1,wsj_0113.mrg,19,Many lost their farms .
1,wsj_0113.mrg,20,Department economists do n't expect 1989 to be as good a year as 1988 was *?* .
1,wsj_0113.mrg,23,"Last year , government payments to farmers slipped to less than $ 14.5 billion *U* from a record $ 16.7 billion *U* in 1987 ."
1,wsj_0142.mrg,0,"Despite a deluge of economic news , the Treasury market remained quiet but the corporate market was abuzz over International Business Machines Corp. 's huge debt offering ."
1,wsj_0142.mrg,6,Money managers ranked IBM 's offering as the most significant investment-grade sale of the year because large issues of long-term debt by companies with triple-A credit are infrequent .
1,wsj_0142.mrg,12,A survey by the Federal Reserve 's 12 district banks and the latest report by the National Association of Purchasing Management blurred that picture of the economy .
1,wsj_0142.mrg,19,"The employment report , which at times *T*-1 has caused wide swings in bond prices , is due out tomorrow ."
1,wsj_0142.mrg,21,The economists forecast a 0.1 % rise in the unemployment rate to 5.4 % .
1,wsj_0142.mrg,28,The Treasury said 0 the refunding is contingent upon congressional and presidential passage of an increase in the federal debt ceiling .
1,wsj_0142.mrg,30,"Meanwhile , Treasury bonds ended modestly higher in quiet trading ."
1,wsj_0142.mrg,36,IBM 's $ 750 million *U* debenture offering dominated activity in the corporate debt market .
1,wsj_0142.mrg,37,"Meanwhile , most investment-grade bonds ended unchanged to as much as 1\/8 point higher ."
1,wsj_0142.mrg,40,Total return measures price changes and interest income .
1,wsj_0142.mrg,42,Junk bonds trailed the group again .
1,wsj_0142.mrg,48,"Ginnie Mae 's 9 % issue for November delivery finished at 98 5\/8 , up 2\/32 , and its 9 1\/2 % issue at 100 22\/32 , also up 2\/32 ."
1,wsj_0142.mrg,49,The Ginnie Mae 9 % securities were yielding 9.32 % to a 12-year average life .
1,wsj_0142.mrg,50,"Activity was light in derivative markets , with no new issues priced *-1 ."
1,wsj_0142.mrg,55,"The issue could be relaunched *-1 , possibly in a restructured form , as early as next week , according to the lead underwriter ."
1,wsj_0142.mrg,56,"A $ 107.03 million *U* offering of Santa Ana Community Redevelopment Agency , Calif. , tax allocation bonds got off to a slow start and may be repriced *-1 at lower levels today , according to an official with lead underwriter Donaldson Lufkin & Jenrette Securities Corp ."
1,wsj_0142.mrg,61,West German dealers said 0 there was little interest in Treasury bonds ahead of Thursday 's new government bond issue .
1,wsj_0142.mrg,63,"It is generally expected *-1 to be the usual 10-year , four billion mark issue ."
1,wsj_0142.mrg,64,"Rumors to the contrary have been that it would be a six billion mark issue , or that the last Bund , a 7 % issue due October 1999 , would be increased *-1 by two billion marks ."
1,wsj_0034.mrg,0,"* Pick a country , any country ."
1,wsj_0034.mrg,3,The turf recently has ranged from Chile to Austria to Portugal .
1,wsj_0034.mrg,8,They fell into oblivion after the 1929 crash .
1,wsj_0034.mrg,11,These funds now account for several billions of dollars in assets .
1,wsj_0034.mrg,20,Political and currency gyrations can whipsaw the funds .
1,wsj_0034.mrg,23,And most country funds were clobbered *-47 more than most stocks after the 1987 crash .
1,wsj_0034.mrg,24,What *ICH*-1 *T*-41 's so wild about the funds ' frenzy right now is that many are trading at historically fat premiums to the value of their underlying portfolios .
1,wsj_0186.mrg,1,"Right up front in the preface , co-author William Sternberg gives us an example of his own integrity ."
1,wsj_0186.mrg,10,"Instead of 50\/50 it became , on paper only , two-thirds Mariotta , one-third Neuberger , and they were in the program and off to the races ."
1,wsj_0186.mrg,17,Sometimes the bribed became partners in the company .
1,wsj_0186.mrg,18,Wedtech management used the merit system .
1,wsj_0186.mrg,19,"If you were especially helpful in a corrupt scheme you received not just cash in a bag , but equity ."
1,wsj_0186.mrg,21,"But despite the sensational nature of the revelations and the breezy , easy-to-read tabloid writing style , `` Feeding Frenzy '' often falls short of gripping reading ."
1,wsj_0186.mrg,24,"The scammers themselves were garden-variety low lifes , conspicuous consumers who *T*-1 wanted big houses , Mercedes cars , beautiful women , expensive clothes ."
1,wsj_0186.mrg,25,"Among the lot of them , not one is wrestling with good and evil , or especially intelligent or even temporarily insane ."
1,wsj_0186.mrg,31,"Numerous other scandals , among them the ones at HUD , have the same characteristics as Wedtech ."
1,wsj_0186.mrg,33,Why are programs like this not eliminated *-2 *T*-1 ?
1,wsj_0186.mrg,34,`` Feeding Frenzy '' does provide a few clues .
1,wsj_0186.mrg,39,This is the real issue raised * by the Wedtech scandal .
1,wsj_0128.mrg,5,The biggest firms still retain the highest ratings on their commercial paper .
1,wsj_0128.mrg,12,That 's a departure from their traditional practice of * transferring almost all financing risks to investors .
1,wsj_0128.mrg,26,"CS First Boston , however , benefits from the backing of its largest shareholder , Credit Suisse , Switzerland 's third largest bank ."
1,wsj_0128.mrg,33,"`` After two months of talks , our rating was maintained *-1 . ''"
1,wsj_0128.mrg,40,Drexel remains confident of its future creditworthiness .
1,wsj_0128.mrg,43,"Moreover , we 've probably been the most aggressive firm on the Street in * reducing costs , which *T*-1 are down around 40 % over the last six months ."
1,wsj_0064.mrg,3,Such belts already are required *-89 for the vehicles ' front seats .
1,wsj_0064.mrg,9,They did n't have much luck during the Reagan administration .
1,wsj_0064.mrg,17,"During the test , the roof could n't be depressed *-92 more than five inches ."
1,wsj_0074.mrg,1,The previous contract between Copperweld 's Ohio Steel Tube division and the union expired at midnight Tuesday .
1,wsj_0026.mrg,2,"Previously , watch imports were denied *-37 such duty-free treatment ."
1,wsj_0026.mrg,6,U.S. trade officials said 0 the Philippines and Thailand would be the main beneficiaries of the president 's action .
1,wsj_0026.mrg,7,"Imports of the types of watches that *T*-36 now will be eligible for duty-free treatment totaled about $ 37.3 million *U* *ICH*-1 in 1988 , a relatively small share of the $ 1.5 billion *U* in U.S. watch imports that year , according to an aide to U.S. Trade Representative Carla Hills ."
1,wsj_0015.mrg,8,"For 1988 , Commonwealth Edison reported earnings of $ 737.5 million *U* , or $ 3.01 *U* a share ."
1,wsj_0015.mrg,10,"In New York Stock Exchange composite trading yesterday , Commonwealth Edison closed at $ 38.375 *U* , down 12.5 cents ."
1,wsj_0015.mrg,11,"The $ 2.5 billion *U* Byron 1 plant near Rockford , Ill. , was completed *-17 in 1985 ."
1,wsj_0015.mrg,15,The utility has been collecting for the plant 's construction cost from its 3.1 million customers subject to a refund since 1986 .
1,wsj_0015.mrg,17,"In his ruling , Judge Curry added an additional $ 55 million *U* to the commission 's calculations ."
1,wsj_0015.mrg,18,"Last month , Judge Curry set the interest rate on the refund at 9 % ."
1,wsj_0171.mrg,1,"The Van Nuys , Calif. , thrift had net income of $ 132,000 *U* , or three cents a share , a year ago ."
1,wsj_0171.mrg,6,Valley Federal is currently being examined *-1 by regulators .
1,wsj_0171.mrg,8,The thrift has assets of $ 3.2 billion *U* .
1,wsj_0159.mrg,0,"DD Acquisition Corp. , a partnership of Unicorp Canada Corp. 's Kingsbridge Capital Group and Cara Operations Ltd. , extended to Nov. 20 its $ 45-a-share offer for all Dunkin' Donuts Inc. shares outstanding ."
1,wsj_0159.mrg,7,"Dunkin' is based *-1 in Randolph , Mass ."
1,wsj_0155.mrg,3,The March and May contracts rose to fresh life-of-contract highs of 14.54 cents and 14.28 cents at their best levels of the day .
