Verb,Type,Mismatched Args
quoted,Literal,[]
sells,Literal,[]
completed,Literal,[]
runs,Nonliteral,['May Stores']
reacted,Literal,[]
appear,Literal,[]
fallen,Nonliteral,['Growth']
are,Literal,[]
hurt,Nonliteral,"["" Campbell 's Italian biscuit operation""]"
has,Literal,[]
was,Literal,[]
been,Literal,[]
received,Literal,[]
set,Literal,[]
took,Literal,[]
reciting,Literal,[]
was,Literal,[]
responded,Literal,[]
is,Literal,[]
was,Literal,[]
took,Nonliteral,['refuge']
been,Literal,[]
