Verb,Type,Mismatched Args
is,Literal,[]
studied,Literal,[]
were,Literal,[]
led,Literal,[]
imposed,Literal,[]
were,Literal,[]
has,Literal,[]
sweeping,Nonliteral,"['stadium craze', 'the country']"
claim,Literal,[]
be,Literal,[]
scoffs,Literal,[]
rejected,Literal,[]
turned,Literal,[]
is,Literal,[]
is,Literal,[]
is,Literal,[]
is,Literal,[]
justified,Literal,[]
moved,Nonliteral,['civilization']
went,Literal,[]
snapped,Literal,[]
put,Literal,[]
assembled,Nonliteral,['funds']
join,Literal,[]
is,Literal,[]
traded,Literal,[]
overlap,Literal,[]
took,Literal,[]
taken,Nonliteral,['Program trading']
tightened,Literal,[]
reaped,Nonliteral,"['Some U.S. firms', 'a hefty chunk of their Japanese earnings', 'from index arbitrage']"
been,Literal,[]
scrutinizing,Literal,[]
is,Literal,[]
serves,Nonliteral,['London']
has,Literal,[]
traded,Literal,[]
traded,Literal,[]
gained,Literal,[]
identified,Literal,[]
Buy,Literal,[]
Take,Literal,[]
Send,Literal,[]
Buy,Literal,[]
Make,Literal,[]
helping,Literal,[]
are,Literal,[]
go,Literal,[]
seems,Literal,[]
paint,Literal,[]
spackle,Literal,[]
stayed,Literal,[]
ranged,Literal,[]
was,Literal,[]
uses,Literal,[]
said,Literal,[]
said,Literal,[]
were,Literal,[]
were,Literal,[]
increased,Literal,[]
ranged,Literal,[]
been,Literal,[]
raising,Nonliteral,"['their payouts', 'many companies']"
be,Literal,[]
rose,Nonliteral,"['stocks', '10 %']"
are,Literal,[]
slid,Nonliteral,"[""the market 's dividend yield""]"
is,Literal,[]
keeping,Literal,[]
tanked,Nonliteral,['the market']
dropped,Nonliteral,"['the S&P 500 yield', 'below 3 %']"
say,Literal,[]
is,Literal,[]
look,Literal,[]
are,Literal,[]
is,Literal,[]
happen,Literal,[]
expected,Literal,[]
measure,Literal,[]
be,Literal,[]
indicated,Literal,[]
totaled,Literal,[]
compares,Literal,[]
rose,Nonliteral,"['Sales', '4 %', 'to $ 3.28 billion', 'from $ 3.16 billion']"
soared,Nonliteral,"['pretax electronics earnings', '12 % ', 'to $ 107.9 million', 'from $ 96.4 million']"
took,Literal,[]
posted,Nonliteral,['net of $ 734.9 million']
were,Literal,[]
rose,Nonliteral,"['Sales', '5 %', 'to $ 12.52 billion', 'from $ 11.95 billion']"
quoted,Literal,"['Sterling', 'at $ 1.5755']"
opened,Nonliteral,['the U.S. currency']
cites,Literal,[]
settled,Literal,[]
was,Literal,[]
quoted,Nonliteral,"['gold', 'at $ 374.19 *U* an ounce']"
sells,Literal,[]
completed,Literal,[]
runs,Nonliteral,['May Stores']
reacted,Literal,[]
appear,Literal,[]
fallen,Nonliteral,"['Growth', 'short of targets']"
hurt,Nonliteral,"[""Campbell 's Italian biscuit operation"", 'by overproduction and distribution problems']"
has,Literal,[]
been,Literal,[]
received,Literal,[]
set,Literal,[]
took,Literal,[]
was,Literal,[]
reciting,Literal,[]
was,Literal,[]
is,Literal,[]
been,Literal,[]
took,Literal,[]
was,Literal,[]
leave,Literal,[]
was,Literal,[]
